# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,7801,0,0,0,11176.973
1,7701,0,0,0,9389.431
2,9001,0,0,0,8821.582
3,8600,0,0,0,4441.313
4,7600,0,0,0,4789.113
5,36204,25103,0,0,6248.682
6,10001,0,0,0,5009.552
7,8000,0,0,0,11599.588
8,8301,0,0,0,8325.032
9,8001,0,0,0,4698.867
10,7201,0,0,0,4648.078
11,7001,0,0,0,4667.612
12,7701,0,0,0,4457.721
13,7300,0,0,0,11959.596
14,64908,0,0,0,4435.257
15,6300,0,0,0,4357.708
16,8001,0,0,2048,18118.325
17,7901,0,0,0,4443.852
18,6300,0,0,0,4806.888
19,7100,0,0,0,4354.289
20,6801,0,0,0,4487.120
21,6300,0,0,0,4936.398
22,6500,0,0,0,7090.688
23,8101,0,0,0,5230.187
24,8200,0,0,0,5072.549
25,44805,26603,0,0,5011.017
26,8501,0,0,0,5757.503
27,7600,0,0,0,4559.590
28,7100,0,0,0,5465.570
29,6500,0,0,0,4812.749
